scenario_id,target_NH3_t_per_day,hour,P_load_MW,P_wind_MW,P_pv_MW,P_re_MW,P_alk_MW,P_pem_MW,P_nh3_MW,plant_load_ratio,P_buy_MW,P_sell_MW,P_curtail_MW,NH3_t,H2_prod_kg,H2_cons_kg,alk_load_ratio,pem_load_ratio,nh3_load_ratio,cost_yuan,sell_revenue_yuan,net_cost_yuan
W1_P1,72.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P1,72.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P1,72.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,0.0,16571.20672
W1_P1,72.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,0.0,16990.3472
W1_P1,72.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,0.0,16716.84768
W1_P1,72.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,0.0,16168.28288
W1_P1,72.0,6,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,1.0,20.2922,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15084.84928,0.0,15084.84928
W1_P1,72.0,7,3.3702,22.804,25.6,48.404,20.0,20.0,1.5,1.0,0.0,3.5338,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11495.6,1335.42302,10160.17698
W1_P1,72.0,8,4.0098,17.852,37.12,54.972,20.0,20.0,1.5,1.0,0.0,9.4622,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12135.2,3575.76538,8559.43462
W1_P1,72.0,9,4.2,14.328,46.08,60.408,20.0,20.0,1.5,1.0,0.0,14.708,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12681.8,5558.1532,7123.6468
W1_P1,72.0,10,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,1.0,0.0,18.7638,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13086.2,7090.84002,5995.35998
W1_P1,72.0,11,3.9,7.736,55.04,62.776,20.0,20.0,1.5,1.0,0.0,17.376,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12768.2,6566.3904,6201.8096
W1_P1,72.0,12,3.2598,8.556,56.32,64.876,20.0,20.0,1.5,1.0,0.0,20.1162,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13044.8,7601.91198,5442.88802
W1_P1,72.0,13,2.6898,14.52,56.32,70.84,20.0,20.0,1.5,1.0,0.0,26.6502,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13939.4,10071.11058,3868.28942
W1_P1,72.0,14,3.63,6.708,52.48,59.188,20.0,20.0,1.5,1.0,0.0,14.058,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12306.8,5312.5182,6994.2818
W1_P1,72.0,15,3.8202,11.176,44.8,55.976,20.0,20.0,1.5,1.0,0.0,10.6558,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12055.4,4026.82682,8028.57318
W1_P1,72.0,16,3.75,10.108,33.28,43.388,20.0,20.0,1.5,1.0,1.862,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11643.7788,0.0,11643.7788
W1_P1,72.0,17,3.1398,6.384,24.32,30.704,20.0,20.0,1.5,1.0,13.9358,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17343.60492,0.0,17343.60492
W1_P1,72.0,18,2.61,6.428,11.52,17.948,20.0,20.0,1.5,1.0,26.162,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,28341.9888,0.0,28341.9888
W1_P1,72.0,19,2.1198,5.736,0.0,5.736,20.0,20.0,1.5,1.0,37.8838,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,36261.36112,0.0,36261.36112
W1_P1,72.0,20,1.86,3.752,0.0,3.752,20.0,20.0,1.5,1.0,39.608,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,37347.2592,0.0,37347.2592
W1_P1,72.0,21,1.6302,3.692,0.0,3.692,20.0,20.0,1.5,1.0,39.4382,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,29511.56268,0.0,29511.56268
W1_P1,72.0,22,1.56,4.88,0.0,4.88,20.0,20.0,1.5,1.0,38.18,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,28925.532,0.0,28925.532
W1_P1,72.0,23,1.4802,3.192,0.0,3.192,20.0,20.0,1.5,1.0,39.7882,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,19105.27968,0.0,19105.27968
W1_P1,63.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P1,63.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P1,63.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,0.0,16571.20672
W1_P1,63.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,0.0,16990.3472
W1_P1,63.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,0.0,16716.84768
W1_P1,63.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,0.0,16168.28288
W1_P1,63.0,6,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,1.0,20.2922,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15084.84928,0.0,15084.84928
W1_P1,63.0,7,3.3702,22.804,25.6,48.404,20.0,20.0,1.5,1.0,0.0,3.5338,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11495.6,1335.42302,10160.17698
W1_P1,63.0,8,4.0098,17.852,37.12,54.972,20.0,20.0,1.5,1.0,0.0,9.4622,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12135.2,3575.76538,8559.43462
W1_P1,63.0,9,4.2,14.328,46.08,60.408,20.0,20.0,1.5,1.0,0.0,14.708,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12681.8,5558.1532,7123.6468
W1_P1,63.0,10,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,1.0,0.0,18.7638,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13086.2,7090.84002,5995.35998
W1_P1,63.0,11,3.9,7.736,55.04,62.776,20.0,20.0,1.5,1.0,0.0,17.376,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12768.2,6566.3904,6201.8096
W1_P1,63.0,12,3.2598,8.556,56.32,64.876,20.0,20.0,1.5,1.0,0.0,20.1162,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13044.8,7601.91198,5442.88802
W1_P1,63.0,13,2.6898,14.52,56.32,70.84,20.0,20.0,1.5,1.0,0.0,26.6502,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13939.4,10071.11058,3868.28942
W1_P1,63.0,14,3.63,6.708,52.48,59.188,20.0,20.0,1.5,1.0,0.0,14.058,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12306.8,5312.5182,6994.2818
W1_P1,63.0,15,3.8202,11.176,44.8,55.976,20.0,20.0,1.5,1.0,0.0,10.6558,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12055.4,4026.82682,8028.57318
W1_P1,63.0,16,3.75,10.108,33.28,43.388,20.0,20.0,1.5,1.0,1.862,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11643.7788,0.0,11643.7788
W1_P1,63.0,17,3.1398,6.384,24.32,30.704,20.0,20.0,1.5,1.0,13.9358,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17343.60492,0.0,17343.60492
W1_P1,63.0,18,2.61,6.428,11.52,17.948,7.391807,7.391807,0.554386,0.36959,0.0,0.0,0.0,1.108771,221.754217,221.754217,0.36959,0.36959,0.36959,4195.660578,0.0,4195.660578
W1_P1,63.0,19,2.1198,5.736,0.0,5.736,2.0,2.0,0.15,0.1,0.5338,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1789.02112,0.0,1789.02112
W1_P1,63.0,20,1.86,3.752,0.0,3.752,2.0,2.0,0.15,0.1,2.258,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2874.9192,0.0,2874.9192
W1_P1,63.0,21,1.6302,3.692,0.0,3.692,8.608193,8.608193,0.645614,0.43041,15.8002,0.0,0.0,1.291229,258.245783,258.245783,0.43041,0.43041,0.43041,12304.180902,0.0,12304.180902
W1_P1,63.0,22,1.56,4.88,0.0,4.88,20.0,20.0,1.5,1.0,38.18,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,28925.532,0.0,28925.532
W1_P1,63.0,23,1.4802,3.192,0.0,3.192,20.0,20.0,1.5,1.0,39.7882,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,19105.27968,0.0,19105.27968
W1_P1,54.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P1,54.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P1,54.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,0.0,16571.20672
W1_P1,54.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,0.0,16990.3472
W1_P1,54.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,0.0,16716.84768
W1_P1,54.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,0.0,16168.28288
W1_P1,54.0,6,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,1.0,20.2922,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15084.84928,0.0,15084.84928
W1_P1,54.0,7,3.3702,22.804,25.6,48.404,20.0,20.0,1.5,1.0,0.0,3.5338,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11495.6,1335.42302,10160.17698
W1_P1,54.0,8,4.0098,17.852,37.12,54.972,20.0,20.0,1.5,1.0,0.0,9.4622,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12135.2,3575.76538,8559.43462
W1_P1,54.0,9,4.2,14.328,46.08,60.408,20.0,20.0,1.5,1.0,0.0,14.708,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12681.8,5558.1532,7123.6468
W1_P1,54.0,10,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,1.0,0.0,18.7638,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13086.2,7090.84002,5995.35998
W1_P1,54.0,11,3.9,7.736,55.04,62.776,20.0,20.0,1.5,1.0,0.0,17.376,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12768.2,6566.3904,6201.8096
W1_P1,54.0,12,3.2598,8.556,56.32,64.876,20.0,20.0,1.5,1.0,0.0,20.1162,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13044.8,7601.91198,5442.88802
W1_P1,54.0,13,2.6898,14.52,56.32,70.84,20.0,20.0,1.5,1.0,0.0,26.6502,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13939.4,10071.11058,3868.28942
W1_P1,54.0,14,3.63,6.708,52.48,59.188,10.22159,10.22159,0.766619,0.51108,0.0,34.3482,0.0,1.533239,306.647711,306.647711,0.51108,0.51108,0.51108,9860.730829,12980.18478,-3119.453951
W1_P1,54.0,15,3.8202,11.176,44.8,55.976,2.0,2.0,0.15,0.1,0.0,48.0058,0.0,0.3,60.0,60.0,0.1,0.1,0.1,7552.7,18141.39182,-10588.69182
W1_P1,54.0,16,3.75,10.108,33.28,43.388,19.102651,19.102651,1.432699,0.955133,0.0,0.0,0.0,2.865398,573.079518,573.079518,0.955133,0.955133,0.955133,10288.328048,0.0,10288.328048
W1_P1,54.0,17,3.1398,6.384,24.32,30.704,13.283952,13.283952,0.996296,0.664198,0.0,0.0,0.0,1.992593,398.518554,398.518554,0.664198,0.664198,0.664198,7198.980545,0.0,7198.980545
W1_P1,54.0,18,2.61,6.428,11.52,17.948,7.391807,7.391807,0.554386,0.36959,0.0,0.0,0.0,1.108771,221.754217,221.754217,0.36959,0.36959,0.36959,4195.660578,0.0,4195.660578
W1_P1,54.0,19,2.1198,5.736,0.0,5.736,2.0,2.0,0.15,0.1,0.5338,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1789.02112,0.0,1789.02112
W1_P1,54.0,20,1.86,3.752,0.0,3.752,2.0,2.0,0.15,0.1,2.258,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2874.9192,0.0,2874.9192
W1_P1,54.0,21,1.6302,3.692,0.0,3.692,2.0,2.0,0.15,0.1,2.0882,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2322.47268,0.0,2322.47268
W1_P1,54.0,22,1.56,4.88,0.0,4.88,2.0,2.0,0.15,0.1,0.83,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1736.442,0.0,1736.442
W1_P1,54.0,23,1.4802,3.192,0.0,3.192,20.0,20.0,1.5,1.0,39.7882,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,19105.27968,0.0,19105.27968
W1_P1,45.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P1,45.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P1,45.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,-0.0,16571.20672
W1_P1,45.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,-0.0,16990.3472
W1_P1,45.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,-0.0,16716.84768
W1_P1,45.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,-0.0,16168.28288
W1_P1,45.0,6,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,1.0,20.2922,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15084.84928,0.0,15084.84928
W1_P1,45.0,7,3.3702,22.804,25.6,48.404,20.0,20.0,1.5,1.0,0.0,3.5338,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11495.6,1335.42302,10160.17698
W1_P1,45.0,8,4.0098,17.852,37.12,54.972,20.0,20.0,1.5,1.0,0.0,9.4622,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12135.2,3575.76538,8559.43462
W1_P1,45.0,9,4.2,14.328,46.08,60.408,20.0,20.0,1.5,1.0,0.0,14.708,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12681.8,5558.1532,7123.6468
W1_P1,45.0,10,4.1202,11.904,52.48,64.384,20.0,20.0,1.5,1.0,0.0,18.7638,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13086.2,7090.84002,5995.35998
W1_P1,45.0,11,3.9,7.736,55.04,62.776,20.0,20.0,1.5,1.0,0.0,17.376,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12768.2,6566.3904,6201.8096
W1_P1,45.0,12,3.2598,8.556,56.32,64.876,20.0,20.0,1.5,1.0,0.0,20.1162,0.0,3.0,600.0,600.0,1.0,1.0,1.0,13044.8,7601.91198,5442.88802
W1_P1,45.0,13,2.6898,14.52,56.32,70.84,2.0,2.0,0.15,0.1,0.0,64.0002,0.0,0.3,60.0,60.0,0.1,0.1,0.1,9436.7,24185.67558,-14748.97558
W1_P1,45.0,14,3.63,6.708,52.48,59.188,2.0,2.0,0.15,0.1,0.0,51.408,0.0,0.3,60.0,60.0,0.1,0.1,0.1,7804.1,19427.0832,-11622.9832
W1_P1,45.0,15,3.8202,11.176,44.8,55.976,2.0,2.0,0.15,0.1,0.0,48.0058,0.0,0.3,60.0,60.0,0.1,0.1,0.1,7552.7,18141.39182,-10588.69182
W1_P1,45.0,16,3.75,10.108,33.28,43.388,2.0,2.0,0.15,0.1,0.0,35.488,0.0,0.3,60.0,60.0,0.1,0.1,0.1,6010.1,13410.9152,-7400.8152
W1_P1,45.0,17,3.1398,6.384,24.32,30.704,2.0,2.0,0.15,0.1,0.0,23.4142,0.0,0.3,60.0,60.0,0.1,0.1,0.1,4376.3,8848.22618,-4471.92618
W1_P1,45.0,18,2.61,6.428,11.52,17.948,2.0,2.0,0.15,0.1,0.0,11.188,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2846.9,4227.9452,-1381.0452
W1_P1,45.0,19,2.1198,5.736,0.0,5.736,2.0,2.0,0.15,0.1,0.5338,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1789.02112,0.0,1789.02112
W1_P1,45.0,20,1.86,3.752,0.0,3.752,2.0,2.0,0.15,0.1,2.258,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2874.9192,0.0,2874.9192
W1_P1,45.0,21,1.6302,3.692,0.0,3.692,2.0,2.0,0.15,0.1,2.0882,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2322.47268,0.0,2322.47268
W1_P1,45.0,22,1.56,4.88,0.0,4.88,2.0,2.0,0.15,0.1,0.83,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1736.442,0.0,1736.442
W1_P1,45.0,23,1.4802,3.192,0.0,3.192,20.0,20.0,1.5,1.0,39.7882,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,19105.27968,0.0,19105.27968
W1_P1,36.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P1,36.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P1,36.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,-0.0,16571.20672
W1_P1,36.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,-0.0,16990.3472
W1_P1,36.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,-0.0,16716.84768
W1_P1,36.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,-0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,-0.0,16168.28288
W1_P1,36.0,6,2.5002,9.628,14.08,23.708,20.0,20.0,1.5,1.0,20.2922,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15084.84928,0.0,15084.84928
W1_P1,36.0,7,3.3702,22.804,25.6,48.404,20.0,20.0,1.5,1.0,0.0,3.5338,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11495.6,1335.42302,10160.17698
W1_P1,36.0,8,4.0098,17.852,37.12,54.972,20.0,20.0,1.5,1.0,0.0,9.4622,0.0,3.0,600.0,600.0,1.0,1.0,1.0,12135.2,3575.76538,8559.43462
W1_P1,36.0,9,4.2,14.328,46.08,60.408,14.0,14.0,1.05,0.7,0.0,27.158,0.0,2.1,420.0,420.0,0.7,0.7,0.7,11180.9,10263.0082,917.8918
W1_P1,36.0,10,4.1202,11.904,52.48,64.384,2.0,2.0,0.15,0.1,0.0,56.1138,0.0,0.3,60.0,60.0,0.1,0.1,0.1,8583.5,21205.40502,-12621.90502
W1_P1,36.0,11,3.9,7.736,55.04,62.776,2.0,2.0,0.15,0.1,0.0,54.726,0.0,0.3,60.0,60.0,0.1,0.1,0.1,8265.5,20680.9554,-12415.4554
W1_P1,36.0,12,3.2598,8.556,56.32,64.876,2.0,2.0,0.15,0.1,0.0,57.4662,0.0,0.3,60.0,60.0,0.1,0.1,0.1,8542.1,21716.47698,-13174.37698
W1_P1,36.0,13,2.6898,14.52,56.32,70.84,2.0,2.0,0.15,0.1,0.0,64.0002,0.0,0.3,60.0,60.0,0.1,0.1,0.1,9436.7,24185.67558,-14748.97558
W1_P1,36.0,14,3.63,6.708,52.48,59.188,2.0,2.0,0.15,0.1,0.0,51.408,0.0,0.3,60.0,60.0,0.1,0.1,0.1,7804.1,19427.0832,-11622.9832
W1_P1,36.0,15,3.8202,11.176,44.8,55.976,2.0,2.0,0.15,0.1,0.0,48.0058,0.0,0.3,60.0,60.0,0.1,0.1,0.1,7552.7,18141.39182,-10588.69182
W1_P1,36.0,16,3.75,10.108,33.28,43.388,2.0,2.0,0.15,0.1,0.0,35.488,0.0,0.3,60.0,60.0,0.1,0.1,0.1,6010.1,13410.9152,-7400.8152
W1_P1,36.0,17,3.1398,6.384,24.32,30.704,2.0,2.0,0.15,0.1,0.0,23.4142,0.0,0.3,60.0,60.0,0.1,0.1,0.1,4376.3,8848.22618,-4471.92618
W1_P1,36.0,18,2.61,6.428,11.52,17.948,2.0,2.0,0.15,0.1,0.0,11.188,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2846.9,4227.9452,-1381.0452
W1_P1,36.0,19,2.1198,5.736,0.0,5.736,2.0,2.0,0.15,0.1,0.5338,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1789.02112,0.0,1789.02112
W1_P1,36.0,20,1.86,3.752,0.0,3.752,2.0,2.0,0.15,0.1,2.258,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2874.9192,0.0,2874.9192
W1_P1,36.0,21,1.6302,3.692,0.0,3.692,2.0,2.0,0.15,0.1,2.0882,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,2322.47268,0.0,2322.47268
W1_P1,36.0,22,1.56,4.88,0.0,4.88,2.0,2.0,0.15,0.1,0.83,0.0,0.0,0.3,60.0,60.0,0.1,0.1,0.1,1736.442,0.0,1736.442
W1_P1,36.0,23,1.4802,3.192,0.0,3.192,20.0,20.0,1.5,1.0,39.7882,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,19105.27968,0.0,19105.27968
W1_P2,72.0,0,1.3698,9.776,0.0,9.776,20.0,20.0,1.5,1.0,33.0938,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17800.71712,0.0,17800.71712
W1_P2,72.0,1,1.0998,10.904,0.0,10.904,20.0,20.0,1.5,1.0,31.6958,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17491.24192,0.0,17491.24192
W1_P2,72.0,2,0.7998,15.152,0.0,15.152,20.0,20.0,1.5,1.0,27.1478,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16571.20672,0.0,16571.20672
W1_P2,72.0,3,0.99,13.312,0.0,13.312,20.0,20.0,1.5,1.0,29.178,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16990.3472,0.0,16990.3472
W1_P2,72.0,4,1.1802,15.072,0.0,15.072,20.0,20.0,1.5,1.0,27.6082,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16716.84768,0.0,16716.84768
W1_P2,72.0,5,1.6302,18.724,0.0,18.724,20.0,20.0,1.5,1.0,24.4062,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16168.28288,0.0,16168.28288
W1_P2,72.0,6,2.5002,9.628,0.0,9.628,20.0,20.0,1.5,1.0,34.3722,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,18216.24128,0.0,18216.24128
W1_P2,72.0,7,3.3702,22.804,3.2,26.004,20.0,20.0,1.5,1.0,18.8662,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,20266.92988,0.0,20266.92988
W1_P2,72.0,8,4.0098,17.852,10.88,28.732,20.0,20.0,1.5,1.0,16.7778,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,19177.23572,0.0,19177.23572
W1_P2,72.0,9,4.2,14.328,17.92,32.248,20.0,20.0,1.5,1.0,13.452,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,17473.3448,0.0,17473.3448
W1_P2,72.0,10,4.1202,11.904,24.96,36.864,20.0,20.0,1.5,1.0,8.7562,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,16809.77488,0.0,16809.77488
W1_P2,72.0,11,3.9,7.736,31.36,39.096,20.0,20.0,1.5,1.0,6.304,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,14984.9296,0.0,14984.9296
W1_P2,72.0,12,3.2598,8.556,35.84,44.396,20.0,20.0,1.5,1.0,0.3638,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,10879.11312,0.0,10879.11312
W1_P2,72.0,13,2.6898,14.52,37.12,51.64,20.0,20.0,1.5,1.0,0.0,7.4502,0.0,3.0,600.0,600.0,1.0,1.0,1.0,11635.4,2815.43058,8819.96942
W1_P2,72.0,14,3.63,6.708,32.0,38.708,20.0,20.0,1.5,1.0,6.422,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,15002.2128,0.0,15002.2128
W1_P2,72.0,15,3.8202,11.176,25.6,36.776,20.0,20.0,1.5,1.0,8.5442,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,14941.14708,0.0,14941.14708
W1_P2,72.0,16,3.75,10.108,19.2,29.308,20.0,20.0,1.5,1.0,15.942,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,18506.3708,0.0,18506.3708
W1_P2,72.0,17,3.1398,6.384,9.6,15.984,20.0,20.0,1.5,1.0,28.6558,0.0,0.0,3.0,600.0,600.0,1.0,1.0,1.0,24518.13292,0.0,24518.13292
